PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH;NO_ORDER
1000000116274;16284;3;G Van Dijk im & export b.v.;Кения;Другие цветы / Калла;Калла Кристал Блаш;Белый/Розовый;70;10;Калла Кристал Блаш. 70см;91,2;20;-30;0;0;0;;0;0;0;0
2000000634456;SPRAY HAMADA CO;3;COLOMBIA FARMS;Колумбия;Гвоздика / Гвоздика кустовая;Гвоздика кустовая Хамада CO;NA;0;10;Гвоздика кустовая Хамада CO;25,9;140;0;0;0;0;;0;0;0;0
1000000359473;12781;3;G Van Dijk im & export b.v.;Бельгия;Гербера / Гербера большеголовая;Гербера микс Оп Рай;Микс;0;15;Гербера микс Оп Рай. DM;53,2;555;-6539;0;0;0;;0;0;0;0
1000000339871;17412;3;G Van Dijk im & export b.v.;Южная Африка;Другие цветы / Прочие;Берзелия Кол-Кол;Зеленый;0;10;Берзелия Кол-Кол;52,4;130;-30;0;0;0;;0;0;0;0
1000000435962;15049;3;G Van Dijk im & export b.v.;Бельгия;Другие цветы / Скиммия;Скиммия Рубелла;Красный;0;1;Скиммия Рубелла;429;20;-219;0;0;0;;0;0;0;0
2000000576206;ALABASTER ALF;3;ALEXANDRA FARMS S.A.S;Колумбия;Роза / Садовая роза;Гарден Алабастер ALF;NA;60;12;Роза Гарден Алабастер ALF. 60см;82,8;12;-12;0;0;0;;0;0;0;0
1000000343632;17408;3;G Van Dijk im & export b.v.;Нидерланды;Новый год и Рождество / Новый Год и Рождество;Микспак лил металлик;Лиловый/Блестки;0;1;Микспак лил металлик;6196;140;0;0;0;0;;0;0;0;0
2000000634593;ROOS GR ATHENA WWF;3;WORLD FLOWERS B.V.;Словакия;Роза / Роза большеголовая;Атена WWF;NA;40;10;Роза Атена WWF. 40см.!;22;10;0;0;0;0;;0;0;0;0
1000000001303;277;3;G Van Dijk im & export b.v.;Израиль;Зелень / Рускус;Рускус;Зеленый;0;50;Рускус;33,4;1110;-3853;0;0;0;;0;0;0;0
1000000245202;29102;3;G Van Dijk im & export b.v.;Италия;Лилия / Лилия Ориентальная;Лилия Универс;Белый;0;10;Лилия Универс. 5-6;196;10;-20;0;0;0;;0;0;0;0
1000000451757;115856;3;G Van Dijk im & export b.v.;Кения;Роза / Роза большеголовая;Адв Даймонд Джубили;Розовый;60;10;Роза Адв Даймонд Джубили. 60см;74,5;60;-60;0;0;0;;0;0;0;0
1000000454109;115027;3;G Van Dijk im & export b.v.;Израиль;Хризантема / Хризантема кустовая;Алеро Крем Кустовая;Желтый;0;5;Хризантема Алеро Крем Кустовая;63;95;-1415;0;0;0;;0;0;0;0
2000000526478;1939;3;G Van Dijk im & export b.v.;Германия;Другие цветы / Танацетум Партениум;Танацетум Сингл Вегмо;Белый;0;25;Танацетум Сингл Вегмо;54,1;50;-1600;0;0;0;;0;0;0;0
1000000437003;114897;3;G Van Dijk im & export b.v.;Кения;Роза / Роза кустовая;Кустовая Мик Мак;Красный;50;10;Роза Кустовая Мик Мак. 50см;71,2;30;0;0;0;0;;0;0;0;0
1000000442779;114063;3;G Van Dijk im & export b.v.;Италия;Хризантема / Хризантема одиночная;Гестиастар од;Зеленый;0;10;Хризантема Гестиастар од;156;50;0;0;0;0;;0;0;0;0
2000000634241;595;3;G Van Dijk im & export b.v.;Кения;Роза / Роза кустовая;Кустовая Санмастер Лайт;NA;70;10;Роза Кустовая Санмастер Лайт. 70см;123;10;-30;0;0;0;;0;0;0;0
1000000459623;111422;3;G Van Dijk im & export b.v.;Италия;Другие цветы / Ранункулус;Ранункулус Элеганс Дак Пинк;Темно-розовый;0;50;Ранункулус Элеганс Дак Пинк;56,9;40;0;0;0;0;;0;0;0;0
1000000414868;111770;3;G Van Dijk im & export b.v.;Колумбия;Роза / Роза большеголовая;Хаудини;Розовый;70;10;Роза Хаудини. 70см;194;20;-10;0;0;0;;0;0;0;0
