PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH
2000000267852;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Роза;Красный/Желтый;0;0;42136-51 Роза. Красный/Желтый. ;115;60;0;0;0;0;;0;0;0
2000000267869;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Роза;Малиновый;0;0;42136-90 Роза. Малиновый. ;115;11;0;0;0;0;;0;0;0
2000000267890;;2;DPI gmbh;Германия;Аксессуары для флористов / Аксессуары для фитодизайна ;Лепестки роз;Кремовый;0;0;42158-05 Лепестки роз. Кремовый. ;238;108;0;0;0;0;;0;0;0
2000000345253;;1;G Van Dijk im & export b.v.;Нидерланды;Горшечные растения / Цветущие растения;Сенецио Хереианус;NA;40;0;Сенецио Хереианус. Ампельный.20СМ.40СМ;1995;1;0;0;0;0;;0;0;0
2000000268002;;2;DPI gmbh;Германия;Новогодняя коллекция / Украшения, венки, снег;Эвкалипт кустовой с блестками;Зеленый;0;0;52028-01 Эвкалипт кустовой с блестками. Зеленый. 85см;202;26;0;0;0;0;;0;0;0
2000000268040;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Лилия кустовая;Лавандовый;0;0;42316-20 Лилия кустовая. Лавандовый. 94см;364;9;1;0;0;0;;0;0;0
2000000271095;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Розовый;0;0;349105 Гранулы "Мика" . Розовый. 1кг;157;10;0;0;0;0;;0;0;0
2000000271101;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Светло-зелёный;0;0;349107 Гранулы "Мика" . Светло-зелёный. 1кг;157;4;0;0;0;0;;0;0;0
2000000271118;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Зеленый;0;0;349108 Гранулы "Мика" . Зеленый. 1кг;157;11;0;0;0;0;;0;0;0
2000000271132;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Красный;0;0;349110 Гранулы "Мика" . Красный. 1кг;157;9;0;0;0;0;;0;0;0
2000000271149;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Золотой;0;0;349111 Гранулы "Мика" . Золотой. 1кг;157;2;0;0;0;0;;0;0;0
2000000271187;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Лиловый;0;0;349220 Гранулы "Мика" . Лиловый. 1кг;157;16;0;0;0;0;;0;0;0
2000000271194;;2;Edelman / Van Dijk;Нидерланды;Аксессуары для флористов / Гравий, песок, проволока;Гранулы "Мика" ;Лиловый;0;0;349221 Гранулы "Мика" . Лиловый. 1кг;157;7;0;0;0;0;;0;0;0
2000000279015;;2;Smither-Oasis Denmark ;Дания;Оазис / Клей, краска, лента;Краска ;Жемчужный;0;0;5432 Краска . Жемчужный. 400мл;415;2;0;0;0;0;;0;0;0
2000000279725;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Банксия Бакстерил;Темно-оранжевый;0;3;2056N011 Банксия Бакстерил. Темно-оранжевый. 12см.35см;467;36;0;0;0;0;;0;0;0
2000000279732;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Банксия Бакстерил;Светло-зелёный;0;3;2056N014 Банксия Бакстерил. Светло-зелёный. 12см.35см;467;16;0;0;0;0;;0;0;0
2000000279749;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Банксия Бакстерил;Белый;0;3;2056P001 Банксия Бакстерил. Белый. 12см.35см;538;5;0;0;0;0;;0;0;0
2000000279756;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Кардо на стике;Желтый;0;10;7060N003 Кардо на стике. Желтый. 45см;385;9;0;0;0;0;;0;0;0
2000000279817;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Кардо на стике;Фуксия;0;10;7060P006 Кардо на стике. Фуксия. 45см;385;1;0;0;0;0;;0;0;0
2000000276199;;2;Bolis / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента "Силки Mетал";Малиновый;0;0;88013021037 Лента "Силки Mетал". Малиновый. 100м.30мм;275;27;0;0;0;0;;0;0;0
2000000276205;;2;Bolis / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента "Силки Mетал";Розовый;0;0;88013021056 Лента "Силки Mетал". Розовый. 100м.30мм;275;28;0;0;0;0;;0;0;0
